% PhoeniX Technologies Incorporated
% Generated from C:\Users\firstadmin\Documents\RP_VisualEyez\project1.vzp | 7_12_17_49_3leggedmode4545gaitonly_BRwheelbackspin
%
% Exported on                                    12-Jul-18 6:48:52 PM
% Capture Time                                   12-Jul-18 4:44:28 PM
%
% Total Frames Captured                          9816
% Frames Rate                                    38.462
% Total Markers Used                             12
%
% System settings
%
%  Data Source Selection
%      COMM Port(RS232)                           7 
%  TCM Control Mode Settings
%      Use Wireless Operation
%  Data Unit                                     m
%  Coordinate Reference Frame
%      Coordinate Transformation Matrix(D.H.):
%          1.0000  0.0000  0.0000  0000.00
%          0.0000  1.0000  0.0000  0000.00
%          0.0000  0.0000  1.0000  0000.00
%          0.0000  0.0000  0.0000  0001.00
%     Translation:
%          X                                      0 
%          Y                                      0 
%          Z                                      0 
%     Rotation:
%          Yaw                                    0 
%          Pitch                                  0 
%          Roll                                   0 
%     Scaling:
%          X                                      1 
%          Y                                      1 
%          Z                                      1 
%  Operating Options
%      Double Sampling                           True
%      Enable Graphics                           True
%      Display Each Frame                        True
%      Free-Form Mesh                            False
%      Use Previous Good Data                    False
%      Display CRF Data                          True
%      Minimum Signal Requirement                 0 
%      Signal Quality Requirement                 0 
%      MAX Z Limit(mm)                            10000 
%      Enable Stand-By                           False
%      Internal Trigger                          True
%      Accumulate Data                           In Memory
%  Exposure Settings                             Auto
%      Maximun Extended-Exposure                 True
%          Extended Exposure Volume               1 
%  Sampling Timing:
%      Sampling Period(us)                        400 
%      Sequence Intermission Period(us)           21200 
%  Capture Process
%      Infinite Cycle                            True
%  User Preference
%      Playback Data Output Priority             Normal Speed
%      Bad Data Processing - Set to Zero         True
%      Treat Missing Data as Bad                 True
%      Timestamp Precision                       Keep Default(Full Timestamp)
%  Priority                                      Higher
%  Acceleration Limit                            False
%  Smoothing Filter                              True
%      Recursive                                 False
%      Weight of Data(n-3)                       0.0000
%      Weight of Data(n-2)                       0.0000
%      Weight of Data(n-1)                       0.0000
%      Weight of Current Data                    1.0000
%  Jumping Filter                                False
%
% Target ID versus Name table
% TCMID:LEDID   NAME
%  1 : 1 	Channel101                                        
%  1 : 2 	Channel102                                        
%  1 : 3 	Channel103                                        
%  1 : 4 	Channel104                                        
%  1 : 5 	Channel105                                        
%  1 : 6 	Channel106                                        
%  1 : 7 	Channel107                                        
%  1 : 8 	Channel108                                        
%  1 : 9 	Channel109                                        
%  1 : 10 	Channel110                                        
%  1 : 11 	Channel111                                        
%  1 : 12 	Channel112                                        
%
%  Frame data:
%      Status word:
%          0 ---------- BAD (or missing if<Treat Missing Data As Bad>)
%          1 ---------- GOOD
%         -1 ---------- MISSING
% [Status TCMID LEDID X(m) Y(m) Z(m) Timestamp(us)]
%Frame#1
0 1 1 .00 .00 .00 1280206.0
0 1 2 .00 .00 .00 1280608.0
0 1 3 .00 .00 .00 1281008.0
0 1 4 .00 .00 .00 1281408.0
0 1 5 .00 .00 .00 1281808.0
0 1 6 .00 .00 .00 1282208.0
0 1 7 .00 .00 .00 1282608.0
0 1 8 .00 .00 .00 1283008.0
0 1 9 .00 .00 .00 1283408.0
0 1 10 .00 .00 .00 1283808.0
0 1 11 .00 .00 .00 1284208.0
0 1 12 .00 .00 .00 1284608.0
%Frame#2
0 1 1 .00 .00 .00 1306208.0
0 1 2 .00 .00 .00 1306608.0
0 1 3 .00 .00 .00 1307008.0
0 1 4 .00 .00 .00 1307408.0
0 1 5 .00 .00 .00 1307808.0
0 1 6 .00 .00 .00 1308208.0
0 1 7 .00 .00 .00 1308608.0
0 1 8 .00 .00 .00 1309008.0
0 1 9 .00 .00 .00 1309408.0
0 1 10 .00 .00 .00 1309808.0
0 1 11 .00 .00 .00 1310208.0
0 1 12 .00 .00 .00 1310608.0
%Frame#3
0 1 1 .00 .00 .00 1332208.0
0 1 2 .00 .00 .00 1332608.0
0 1 3 .00 .00 .00 1333008.0
0 1 4 .00 .00 .00 1333408.0
0 1 5 .00 .00 .00 1333808.0
0 1 6 .00 .00 .00 1334208.0
0 1 7 .00 .00 .00 1334608.0
0 1 8 .00 .00 .00 1335008.0
0 1 9 .00 .00 .00 1335408.0
0 1 10 .00 .00 .00 1335808.0
0 1 11 .00 .00 .00 1336208.0
0 1 12 .00 .00 .00 1336608.0
%Frame#4
0 1 1 .00 .00 .00 1358208.0
0 1 2 .00 .00 .00 1358608.0
0 1 3 .00 .00 .00 1359008.0
0 1 4 .00 .00 .00 1359408.0
0 1 5 .00 .00 .00 1359808.0
0 1 6 .00 .00 .00 1360208.0
0 1 7 .00 .00 .00 1360608.0
1 1 8 .57 .45 2.42 1361008.0
0 1 9 .57 .45 2.42 1361408.0
0 1 10 .57 .45 2.42 1361808.0
0 1 11 .57 .45 2.42 1362208.0
1 1 12 .50 .18 2.38 1362608.0
%Frame#5
0 1 1 .50 .18 2.38 1384208.0
0 1 2 .50 .18 2.38 1384608.0
0 1 3 .50 .18 2.38 1385008.0
0 1 4 .50 .18 2.38 1385408.0
0 1 5 .50 .18 2.38 1385808.0
0 1 6 .50 .18 2.38 1386208.0
0 1 7 .50 .18 2.38 1386608.0
1 1 8 .57 .45 2.43 1387008.0
0 1 9 .57 .45 2.43 1387408.0
0 1 10 .57 .45 2.43 1387808.0
0 1 11 .57 .45 2.43 1388208.0
1 1 12 .50 .18 2.38 1388608.0
%Frame#6
0 1 1 .50 .18 2.38 1410208.0
0 1 2 .50 .18 2.38 1410608.0
0 1 3 .50 .18 2.38 1411008.0
