% PhoeniX Technologies Incorporated
% Generated from C:\Users\firstadmin\Documents\RP_VisualEyez\project1.vzp | 07_13_11_29_wheel_3legged
%
% Exported on                                    13-Jul-18 3:24:45 PM
% Capture Time                                   13-Jul-18 10:25:54 AM
%
% Total Frames Captured                          7060
% Frames Rate                                    38.462
% Total Markers Used                             12
%
% System settings
%
%  Data Source Selection
%      COMM Port(RS232)                           7 
%  TCM Control Mode Settings
%      Use Wireless Operation
%  Data Unit                                     m
%  Coordinate Reference Frame
%      Coordinate Transformation Matrix(D.H.):
%          1.0000  0.0000  0.0000  0000.00
%          0.0000  1.0000  0.0000  0000.00
%          0.0000  0.0000  1.0000  0000.00
%          0.0000  0.0000  0.0000  0001.00
%     Translation:
%          X                                      0 
%          Y                                      0 
%          Z                                      0 
%     Rotation:
%          Yaw                                    0 
%          Pitch                                  0 
%          Roll                                   0 
%     Scaling:
%          X                                      1 
%          Y                                      1 
%          Z                                      1 
%  Operating Options
%      Double Sampling                           True
%      Enable Graphics                           True
%      Display Each Frame                        True
%      Free-Form Mesh                            False
%      Use Previous Good Data                    False
%      Display CRF Data                          True
%      Minimum Signal Requirement                 0 
%      Signal Quality Requirement                 0 
%      MAX Z Limit(mm)                            10000 
%      Enable Stand-By                           False
%      Internal Trigger                          True
%      Accumulate Data                           In Memory
%  Exposure Settings                             Auto
%      Maximun Extended-Exposure                 True
%          Extended Exposure Volume               1 
%  Sampling Timing:
%      Sampling Period(us)                        400 
%      Sequence Intermission Period(us)           21200 
%  Capture Process
%      Infinite Cycle                            True
%  User Preference
%      Playback Data Output Priority             Normal Speed
%      Bad Data Processing - Set to Zero         True
%      Treat Missing Data as Bad                 True
%      Timestamp Precision                       Keep Default(Full Timestamp)
%  Priority                                      Higher
%  Acceleration Limit                            False
%  Smoothing Filter                              True
%      Recursive                                 False
%      Weight of Data(n-3)                       0.0000
%      Weight of Data(n-2)                       0.0000
%      Weight of Data(n-1)                       0.0000
%      Weight of Current Data                    1.0000
%  Jumping Filter                                False
%
% Target ID versus Name table
% TCMID:LEDID   NAME
%  1 : 1 	Channel101                                        
%  1 : 2 	Channel102                                        
%  1 : 3 	Channel103                                        
%  1 : 4 	Channel104                                        
%  1 : 5 	Channel105                                        
%  1 : 6 	Channel106                                        
%  1 : 7 	Channel107                                        
%  1 : 8 	Channel108                                        
%  1 : 9 	Channel109                                        
%  1 : 10 	Channel110                                        
%  1 : 11 	Channel111                                        
%  1 : 12 	Channel112                                        
%
%  Frame data:
%      Status word:
%          0 ---------- BAD (or missing if<Treat Missing Data As Bad>)
%          1 ---------- GOOD
%         -1 ---------- MISSING
% [Status TCMID LEDID X(m) Y(m) Z(m) Timestamp(us)]
%Frame#1
0 1 1 .00 .00 .00 1120007.0
0 1 2 .00 .00 .00 1120409.0
0 1 3 .00 .00 .00 1120809.0
0 1 4 .00 .00 .00 1121209.0
0 1 5 .00 .00 .00 1121609.0
0 1 6 .00 .00 .00 1122009.0
0 1 7 .00 .00 .00 1122409.0
1 1 8 .53 .63 2.30 1122809.0
0 1 9 .53 .63 2.30 1123209.0
0 1 10 .53 .63 2.30 1123609.0
0 1 11 .53 .63 2.30 1124009.0
0 1 12 .53 .63 2.30 1124409.0
%Frame#2
0 1 1 .53 .63 2.30 1146009.0
0 1 2 .53 .63 2.30 1146409.0
0 1 3 .53 .63 2.30 1146809.0
0 1 4 .53 .63 2.30 1147209.0
0 1 5 .53 .63 2.30 1147609.0
0 1 6 .53 .63 2.30 1148009.0
1 1 7 .42 .96 2.04 1148409.0
1 1 8 .53 .63 2.30 1148809.0
0 1 9 .53 .63 2.30 1149209.0
0 1 10 .53 .63 2.30 1149609.0
0 1 11 .53 .63 2.30 1150009.0
1 1 12 .43 .38 2.25 1150409.0
%Frame#3
0 1 1 .43 .38 2.25 1172009.0
0 1 2 .43 .38 2.25 1172409.0
0 1 3 .43 .38 2.25 1172809.0
1 1 4 .09 .91 1.79 1173209.0
0 1 5 .09 .91 1.79 1173609.0
0 1 6 .09 .91 1.79 1174009.0
1 1 7 .42 .96 2.05 1174409.0
1 1 8 .53 .63 2.30 1174809.0
1 1 9 .11 -.41 2.08 1175209.0
1 1 10 .24 -.09 2.15 1175609.0
1 1 11 .34 .15 2.20 1176009.0
1 1 12 .43 .38 2.25 1176409.0
%Frame#4
0 1 1 .43 .38 2.25 1198009.0
0 1 2 .43 .38 2.25 1198409.0
1 1 3 -.01 .67 1.74 1198809.0
1 1 4 .09 .91 1.79 1199209.0
0 1 5 .09 .91 1.79 1199609.0
1 1 6 .24 .53 1.96 1200009.0
1 1 7 .42 .96 2.05 1200409.0
1 1 8 .53 .63 2.30 1200809.0
1 1 9 .11 -.41 2.08 1201209.0
1 1 10 .24 -.09 2.15 1201609.0
1 1 11 .34 .15 2.20 1202009.0
1 1 12 .43 .38 2.25 1202409.0
%Frame#5
0 1 1 .43 .38 2.25 1224009.0
1 1 2 -.10 .45 1.69 1224409.0
1 1 3 -.01 .67 1.74 1224809.0
1 1 4 .09 .91 1.79 1225209.0
1 1 5 -.08 -.26 1.79 1225609.0
1 1 6 .24 .53 1.96 1226009.0
1 1 7 .42 .96 2.05 1226409.0
1 1 8 .53 .63 2.30 1226809.0
1 1 9 .11 -.41 2.08 1227209.0
1 1 10 .24 -.09 2.15 1227609.0
1 1 11 .34 .15 2.20 1228009.0
1 1 12 .43 .38 2.25 1228409.0
%Frame#6
