% PhoeniX Technologies Incorporated
% Generated from C:\Users\firstadmin\Documents\RP_VisualEyez\project1.vzp | 07_13_15_35_wheel_3legged_good
%
% Exported on                                    13-Jul-18 3:22:08 PM
% Capture Time                                   13-Jul-18 2:31:33 PM
%
% Total Frames Captured                          8722
% Frames Rate                                    38.462
% Total Markers Used                             12
%
% System settings
%
%  Data Source Selection
%      COMM Port(RS232)                           7 
%  TCM Control Mode Settings
%      Use Wireless Operation
%  Data Unit                                     m
%  Coordinate Reference Frame
%      Coordinate Transformation Matrix(D.H.):
%          1.0000  0.0000  0.0000  0000.00
%          0.0000  1.0000  0.0000  0000.00
%          0.0000  0.0000  1.0000  0000.00
%          0.0000  0.0000  0.0000  0001.00
%     Translation:
%          X                                      0 
%          Y                                      0 
%          Z                                      0 
%     Rotation:
%          Yaw                                    0 
%          Pitch                                  0 
%          Roll                                   0 
%     Scaling:
%          X                                      1 
%          Y                                      1 
%          Z                                      1 
%  Operating Options
%      Double Sampling                           True
%      Enable Graphics                           True
%      Display Each Frame                        True
%      Free-Form Mesh                            False
%      Use Previous Good Data                    False
%      Display CRF Data                          True
%      Minimum Signal Requirement                 0 
%      Signal Quality Requirement                 0 
%      MAX Z Limit(mm)                            10000 
%      Enable Stand-By                           False
%      Internal Trigger                          True
%      Accumulate Data                           In Memory
%  Exposure Settings                             Auto
%      Maximun Extended-Exposure                 True
%          Extended Exposure Volume               1 
%  Sampling Timing:
%      Sampling Period(us)                        400 
%      Sequence Intermission Period(us)           21200 
%  Capture Process
%      Infinite Cycle                            True
%  User Preference
%      Playback Data Output Priority             Normal Speed
%      Bad Data Processing - Set to Zero         True
%      Treat Missing Data as Bad                 True
%      Timestamp Precision                       Keep Default(Full Timestamp)
%  Priority                                      Higher
%  Acceleration Limit                            False
%  Smoothing Filter                              True
%      Recursive                                 False
%      Weight of Data(n-3)                       0.0000
%      Weight of Data(n-2)                       0.0000
%      Weight of Data(n-1)                       0.0000
%      Weight of Current Data                    1.0000
%  Jumping Filter                                False
%
% Target ID versus Name table
% TCMID:LEDID   NAME
%  1 : 1 	Channel101                                        
%  1 : 2 	Channel102                                        
%  1 : 3 	Channel103                                        
%  1 : 4 	Channel104                                        
%  1 : 5 	Channel105                                        
%  1 : 6 	Channel106                                        
%  1 : 7 	Channel107                                        
%  1 : 8 	Channel108                                        
%  1 : 9 	Channel109                                        
%  1 : 10 	Channel110                                        
%  1 : 11 	Channel111                                        
%  1 : 12 	Channel112                                        
%
%  Frame data:
%      Status word:
%          0 ---------- BAD (or missing if<Treat Missing Data As Bad>)
%          1 ---------- GOOD
%         -1 ---------- MISSING
% [Status TCMID LEDID X(m) Y(m) Z(m) Timestamp(us)]
%Frame#1
0 1 1 .00 .00 .00 1135909.0
0 1 2 .00 .00 .00 1136311.0
0 1 3 .00 .00 .00 1136711.0
0 1 4 .00 .00 .00 1137111.0
0 1 5 .00 .00 .00 1137511.0
0 1 6 .00 .00 .00 1137911.0
1 1 7 .60 .74 2.49 1138311.0
1 1 8 .68 .37 2.70 1138711.0
1 1 9 .16 -.58 2.33 1139111.0
0 1 10 .16 -.58 2.33 1139511.0
1 1 11 .44 -.07 2.53 1139911.0
1 1 12 .55 .14 2.61 1140311.0
%Frame#2
0 1 1 .55 .14 2.61 1161911.0
0 1 2 .55 .14 2.61 1162311.0
0 1 3 .55 .14 2.61 1162711.0
1 1 4 .28 .76 2.22 1163111.0
0 1 5 .28 .76 2.22 1163511.0
1 1 6 .39 .35 2.34 1163911.0
1 1 7 .60 .74 2.49 1164311.0
1 1 8 .67 .36 2.69 1164711.0
1 1 9 .16 -.59 2.33 1165111.0
1 1 10 .32 -.29 2.44 1165511.0
1 1 11 .44 -.07 2.53 1165911.0
1 1 12 .55 .13 2.60 1166311.0
%Frame#3
0 1 1 .55 .13 2.60 1187911.0
1 1 2 .05 .34 2.06 1188311.0
1 1 3 .16 .54 2.14 1188711.0
1 1 4 .28 .76 2.22 1189111.0
1 1 5 -.01 -.37 2.06 1189511.0
1 1 6 .39 .35 2.34 1189911.0
1 1 7 .60 .74 2.49 1190311.0
1 1 8 .67 .37 2.69 1190711.0
1 1 9 .16 -.59 2.33 1191111.0
1 1 10 .32 -.29 2.44 1191511.0
1 1 11 .44 -.07 2.53 1191911.0
1 1 12 .55 .14 2.60 1192311.0
%Frame#4
1 1 1 -.07 .12 1.98 1213911.0
1 1 2 .05 .34 2.06 1214311.0
1 1 3 .16 .54 2.14 1214711.0
1 1 4 .28 .76 2.22 1215111.0
1 1 5 -.01 -.38 2.06 1215511.0
1 1 6 .39 .35 2.34 1215911.0
1 1 7 .60 .74 2.49 1216311.0
1 1 8 .67 .36 2.69 1216711.0
1 1 9 .16 -.59 2.33 1217111.0
1 1 10 .32 -.29 2.45 1217511.0
1 1 11 .44 -.07 2.53 1217911.0
1 1 12 .55 .14 2.60 1218311.0
%Frame#5
1 1 1 -.07 .12 1.98 1239911.0
1 1 2 .05 .34 2.06 1240311.0
1 1 3 .16 .54 2.14 1240711.0
1 1 4 .28 .76 2.22 1241111.0
1 1 5 -.01 -.38 2.06 1241511.0
1 1 6 .39 .35 2.34 1241911.0
1 1 7 .60 .74 2.49 1242311.0
1 1 8 .67 .36 2.69 1242711.0
1 1 9 .16 -.59 2.33 1243111.0
1 1 10 .32 -.29 2.45 1243511.0
1 1 11 .44 -.07 2.53 1243911.0
1 1 12 .55 .13 2.60 1244311.0
%Frame#6
1 1 1 -.07 .12 1.98 1265911.0
1 1 2 .05 .34 2.07 1266311.0
1 1 3 .16 .54 2.14 1266711.0
1 1 4 .28 .76 2.22 1267111.0
1 1 5 -.01 -.38 2.06 1267511.0
1 1 6 .39 .35 2.34 1267911.0
1 1 7 .60 .74 2.49 1268311.0
1 1 8 .67 .36 2.69 1268711.0
1 1 9 .16 -.59 2.33 1269111.0
