% PhoeniX Technologies Incorporated
% Generated from C:\Users\firstadmin\Documents\RP_VisualEyez\project1.vzp | 7_13_15_11_wheel_3legged
%
% Exported on                                    13-Jul-18 3:22:46 PM
% Capture Time                                   13-Jul-18 2:06:41 PM
%
% Total Frames Captured                          9734
% Frames Rate                                    38.462
% Total Markers Used                             12
%
% System settings
%
%  Data Source Selection
%      COMM Port(RS232)                           7 
%  TCM Control Mode Settings
%      Use Wireless Operation
%  Data Unit                                     m
%  Coordinate Reference Frame
%      Coordinate Transformation Matrix(D.H.):
%          1.0000  0.0000  0.0000  0000.00
%          0.0000  1.0000  0.0000  0000.00
%          0.0000  0.0000  1.0000  0000.00
%          0.0000  0.0000  0.0000  0001.00
%     Translation:
%          X                                      0 
%          Y                                      0 
%          Z                                      0 
%     Rotation:
%          Yaw                                    0 
%          Pitch                                  0 
%          Roll                                   0 
%     Scaling:
%          X                                      1 
%          Y                                      1 
%          Z                                      1 
%  Operating Options
%      Double Sampling                           True
%      Enable Graphics                           True
%      Display Each Frame                        True
%      Free-Form Mesh                            False
%      Use Previous Good Data                    False
%      Display CRF Data                          True
%      Minimum Signal Requirement                 0 
%      Signal Quality Requirement                 0 
%      MAX Z Limit(mm)                            10000 
%      Enable Stand-By                           False
%      Internal Trigger                          True
%      Accumulate Data                           In Memory
%  Exposure Settings                             Auto
%      Maximun Extended-Exposure                 True
%          Extended Exposure Volume               1 
%  Sampling Timing:
%      Sampling Period(us)                        400 
%      Sequence Intermission Period(us)           21200 
%  Capture Process
%      Infinite Cycle                            True
%  User Preference
%      Playback Data Output Priority             Normal Speed
%      Bad Data Processing - Set to Zero         True
%      Treat Missing Data as Bad                 True
%      Timestamp Precision                       Keep Default(Full Timestamp)
%  Priority                                      Higher
%  Acceleration Limit                            False
%  Smoothing Filter                              True
%      Recursive                                 False
%      Weight of Data(n-3)                       0.0000
%      Weight of Data(n-2)                       0.0000
%      Weight of Data(n-1)                       0.0000
%      Weight of Current Data                    1.0000
%  Jumping Filter                                False
%
% Target ID versus Name table
% TCMID:LEDID   NAME
%  1 : 1 	Channel101                                        
%  1 : 2 	Channel102                                        
%  1 : 3 	Channel103                                        
%  1 : 4 	Channel104                                        
%  1 : 5 	Channel105                                        
%  1 : 6 	Channel106                                        
%  1 : 7 	Channel107                                        
%  1 : 8 	Channel108                                        
%  1 : 9 	Channel109                                        
%  1 : 10 	Channel110                                        
%  1 : 11 	Channel111                                        
%  1 : 12 	Channel112                                        
%
%  Frame data:
%      Status word:
%          0 ---------- BAD (or missing if<Treat Missing Data As Bad>)
%          1 ---------- GOOD
%         -1 ---------- MISSING
% [Status TCMID LEDID X(m) Y(m) Z(m) Timestamp(us)]
%Frame#1
0 1 1 .00 .00 .00 1135289.0
0 1 2 .00 .00 .00 1135691.0
0 1 3 .00 .00 .00 1136091.0
0 1 4 .00 .00 .00 1136491.0
0 1 5 .00 .00 .00 1136891.0
1 1 6 .61 .82 2.47 1137291.0
1 1 7 .73 .48 2.71 1137691.0
1 1 8 .30 -.55 2.46 1138091.0
1 1 9 .44 -.23 2.54 1138491.0
1 1 10 .54 .01 2.60 1138891.0
1 1 11 .62 .23 2.65 1139291.0
0 1 12 .62 .23 2.65 1139691.0
%Frame#2
0 1 1 .62 .23 2.65 1161291.0
0 1 2 .62 .23 2.65 1161691.0
0 1 3 .62 .23 2.65 1162091.0
1 1 4 .28 .78 2.21 1162491.0
0 1 5 .28 .78 2.21 1162891.0
1 1 6 .43 .39 2.36 1163291.0
0 1 7 .43 .39 2.36 1163691.0
1 1 8 .73 .48 2.72 1164091.0
1 1 9 .30 -.55 2.46 1164491.0
1 1 10 .44 -.23 2.54 1164891.0
0 1 11 .44 -.23 2.54 1165291.0
1 1 12 .62 .23 2.65 1165691.0
%Frame#3
0 1 1 .62 .23 2.65 1187291.0
1 1 2 .09 .32 2.10 1187691.0
1 1 3 .18 .54 2.16 1188091.0
1 1 4 .28 .78 2.21 1188491.0
1 1 5 .11 -.39 2.18 1188891.0
1 1 6 .43 .40 2.37 1189291.0
1 1 7 .61 .82 2.47 1189691.0
1 1 8 .72 .48 2.71 1190091.0
1 1 9 .30 -.55 2.46 1190491.0
1 1 10 .44 -.23 2.54 1190891.0
1 1 11 .54 .01 2.60 1191291.0
1 1 12 .62 .23 2.65 1191691.0
%Frame#4
1 1 1 -.01 .08 2.05 1213291.0
1 1 2 .09 .32 2.10 1213691.0
1 1 3 .18 .54 2.16 1214091.0
1 1 4 .28 .78 2.21 1214491.0
1 1 5 .11 -.39 2.18 1214891.0
1 1 6 .43 .40 2.37 1215291.0
1 1 7 .61 .82 2.47 1215691.0
1 1 8 .73 .48 2.71 1216091.0
1 1 9 .30 -.55 2.46 1216491.0
1 1 10 .44 -.23 2.54 1216891.0
1 1 11 .54 .01 2.60 1217291.0
1 1 12 .62 .23 2.64 1217691.0
%Frame#5
1 1 1 -.01 .08 2.05 1239291.0
1 1 2 .09 .32 2.10 1239691.0
1 1 3 .18 .54 2.16 1240091.0
1 1 4 .28 .78 2.21 1240491.0
1 1 5 .11 -.39 2.18 1240891.0
1 1 6 .43 .40 2.37 1241291.0
1 1 7 .61 .82 2.47 1241691.0
1 1 8 .73 .48 2.71 1242091.0
1 1 9 .30 -.55 2.46 1242491.0
1 1 10 .44 -.23 2.54 1242891.0
1 1 11 .54 .01 2.60 1243291.0
1 1 12 .62 .23 2.64 1243691.0
%Frame#6
